tipo,autonomia,provincia,matricula,causa,poblacion,fechahora_ini,nivel,carretera,pk_inicial,pk_final,sentido,longitud,latitud, cluster
Obras,Euskadi,ARABA,VI,Obras,None,2006-11-13 12:46:29,Blanco,AP-68,52,52,BILBAO,-2.89389,42.83642,-1
Obras,Euskadi,ARABA,VI,Obras,None,2006-11-13 09:36:24,Blanco,AP-68,50,51,BILBAO,-2.89297,42.85442,78
Obras,Euskadi,ARABA,VI,Obras,None,2006-11-13 12:46:29,Blanco,AP-68,52,52,BILBAO,-2.89389,42.83642,-1
Obras,Euskadi,ARABA,VI,Obras,None,2006-11-13 11:03:38,Blanco,AP-68,42,42,ZARAGOZA,-2.90197,42.92398,-1
Obras,Euskadi,ARABA,VI,Obras,None,2006-11-13 09:36:24,Blanco,AP-68,50,51,BILBAO,-2.89297,42.85442,78
Obras,Euskadi,ARABA,VI,Obras,None,2006-11-13 12:46:29,Blanco,AP-68,52,52,BILBAO,-2.89389,42.83642,-1
Obras,Euskadi,ARABA,VI,Obras,None,2006-11-13 11:03:38,Blanco,AP-68,42,42,ZARAGOZA,-2.90197,42.92398,-1
Obras,Euskadi,ARABA,VI,Obras,None,2006-11-13 09:36:24,Blanco,AP-68,51,51,BILBAO,-2.89269,42.84543,-1
Obras,Euskadi,ARABA,VI,Obras,Vitoria-Gasteiz,2006-03-07 07:45:54,Blanco,N-240,8,11,VITORIA-GASTEIZ,-2.64827,42.90795,38
Obras,Euskadi,ARABA,VI,Obras,Armiñón,2006-10-17 09:57:47,Blanco,N-1,323,329,IRÚN,-2.909908,42.70812,69
Obras,Euskadi,ARABA,VI,Obras,None,2006-11-10 14:32:58,Blanco,AP-68,53,53,BILBAO,-2.89528,42.82766,-1
Obras,Euskadi,ARABA,VI,Obras,Zuia,2006-11-10 09:24:08,Blanco,AP-68,34,34,ZARAGOZA,-2.87067,42.98276,90
Obras,Euskadi,ARABA,VI,Obras,None,2006-11-10 08:48:11,Amarillo,AP-68,53,53,BILBAO,-2.89528,42.82766,-1
Obras,Euskadi,ARABA,VI,Obras,None,2006-11-10 08:48:11,Amarillo,AP-68,53,53,BILBAO,-2.89528,42.82766,-1
