tipo,autonomia,provincia,matricula,causa,poblacion,fechahora_ini,nivel,carretera,pk_inicial,pk_final,sentido,longitud,latitud
Obras,Euskadi,ARABA,VI,Obras,Ribera Alta,2007-10-10 08:29:11,Blanco,AP-68,64,64,BILBAO,-2.91494,42.74106
Obras,Euskadi,ARABA,VI,Obras,Ribera Alta,2007-10-10 08:29:11,Blanco,AP-68,64,64,BILBAO,-2.91494,42.74106
Obras,Euskadi,ARABA,VI,Obras,Salvatierra/Agurain,2007-10-10 01:16:36,Amarillo,N-1,380,380,MADRID,-2.376358,42.84897
Obras,Euskadi,ARABA,VI,Obras,Urkabustaiz,2007-09-23 20:37:29,Blanco,AP-68,53,51,BILBAO,-2.89528,42.82766
Obras,Euskadi,ARABA,VI,Obras,Zambrana,2007-10-09 09:04:12,Blanco,AP-68,72,72,BILBAO,-2.88888,42.68017
Obras,Euskadi,ARABA,VI,Obras,Zambrana,2007-10-09 09:04:12,Blanco,AP-68,72,72,BILBAO,-2.88888,42.68017
Obras,Euskadi,ARABA,VI,Obras,None,2007-10-09 09:04:12,Blanco,AP-68,72,72,BILBAO,-2.88888,42.68017
Obras,Euskadi,ARABA,VI,Obras,Kuartango,2007-10-09 08:11:37,Blanco,AP-68,44,44,ZARAGOZA,-2.89711,42.90756
Obras,Euskadi,ARABA,VI,Obras,None,2007-10-09 08:11:37,Blanco,AP-68,44,44,ZARAGOZA,-2.89711,42.90756
Obras,Euskadi,ARABA,VI,Obras,Zuia,2007-10-08 17:27:58,Blanco,AP-68,43,43,ZARAGOZA,-2.903103,42.91535
Obras,Euskadi,ARABA,VI,Obras,Zuia,2007-10-08 17:27:58,Blanco,AP-68,43,43,ZARAGOZA,-2.903103,42.91535
Obras,Euskadi,ARABA,VI,Obras,Ribera Alta,2007-10-08 08:16:32,Blanco,AP-68,72,72,BILBAO,-2.88888,42.68017
Obras,Euskadi,ARABA,VI,Obras,None,2007-10-07 16:10:38,Blanco,AP-68,51,51,ZARAGOZA,-2.89297,42.84566
Obras,Euskadi,ARABA,VI,Obras,None,2007-10-07 16:09:47,Blanco,AP-68,52,52,ZARAGOZA,-2.894033,42.83658
Obras,Euskadi,ARABA,VI,Obras,None,2007-10-05 12:52:13,Blanco,AP-68,44,44,ZARAGOZA,-2.89711,42.90756
Obras,Euskadi,ARABA,VI,Obras,None,2007-10-05 09:01:38,Blanco,AP-68,53,53,ZARAGOZA,-2.89539,42.828
Obras,Euskadi,ARABA,VI,Obras,None,2007-10-05 09:01:38,Blanco,AP-68,53,53,ZARAGOZA,-2.89539,42.828
Obras,Euskadi,ARABA,VI,Obras,Ribera Baja/Erribera Beitia,2007-10-05 08:53:12,Blanco,AP-68,50,55,ZARAGOZA,-2.89331,42.85456
Obras,Euskadi,ARABA,VI,Obras,None,2007-10-04 13:31:40,Blanco,AP-68,70,70,ZARAGOZA,-2.894581,42.69747
Obras,Euskadi,ARABA,VI,Obras,None,2007-10-04 13:31:40,Blanco,AP-68,65,65,ZARAGOZA,-2.92224,42.73424
Obras,Euskadi,ARABA,VI,Obras,None,2007-10-04 13:31:40,Blanco,AP-68,63,63,ZARAGOZA,-2.90674,42.74772
Obras,Euskadi,ARABA,VI,Obras,None,2007-10-04 13:31:40,Blanco,AP-68,62,62,ZARAGOZA,-2.90606,42.75644
Obras,Euskadi,ARABA,VI,Obras,Ribera Alta,2007-10-04 10:22:51,Blanco,AP-68,58,58,ZARAGOZA,-2.89953,42.78738
Obras,Euskadi,ARABA,VI,Obras,None,2007-10-04 08:30:35,Blanco,AP-68,54,54,ZARAGOZA,-2.89429,42.81965
Obras,Euskadi,ARABA,VI,Obras,None,2007-10-04 08:26:47,Blanco,AP-68,42,50,ZARAGOZA,-2.90197,42.92398
Obras,Euskadi,ARABA,VI,Obras,None,2007-10-04 08:26:47,Blanco,AP-68,42,50,ZARAGOZA,-2.90197,42.92398
Obras,Euskadi,ARABA,VI,Obras,None,2007-10-04 08:26:47,Blanco,AP-68,42,50,ZARAGOZA,-2.90197,42.92398
Obras,Euskadi,ARABA,VI,Obras,None,2007-10-04 08:26:47,Blanco,AP-68,42,50,ZARAGOZA,-2.90197,42.92398
Obras,Euskadi,ARABA,VI,Obras,None,2007-10-03 09:03:28,Blanco,AP-68,44,44,ZARAGOZA,-2.89711,42.90756
Obras,Euskadi,ARABA,VI,Obras,None,2007-10-03 12:39:36,Blanco,AP-68,53,53,ZARAGOZA,-2.89539,42.828
Obras,Euskadi,ARABA,VI,Obras,None,2007-10-03 09:03:28,Blanco,AP-68,43,43,ZARAGOZA,-2.903103,42.91535
Obras,Euskadi,ARABA,VI,Obras,None,2007-10-02 17:18:26,Blanco,AP-68,44,44,ZARAGOZA,-2.89711,42.90756
Obras,Euskadi,ARABA,VI,Obras,None,2007-10-02 17:18:26,Blanco,AP-68,42,42,ZARAGOZA,-2.90197,42.92398
Obras,Euskadi,ARABA,VI,Obras,None,2007-10-02 17:18:26,Blanco,AP-68,42,42,ZARAGOZA,-2.90197,42.92398
Obras,Euskadi,ARABA,VI,Obras,None,2007-10-02 09:28:46,Blanco,AP-68,38,38,ZARAGOZA,-2.87697,42.95297
Obras,Euskadi,ARABA,VI,Obras,None,2007-10-02 09:28:46,Blanco,AP-68,37,37,ZARAGOZA,-2.86974,42.96004
Obras,Euskadi,ARABA,VI,Obras,None,2007-10-02 09:28:46,Blanco,AP-68,44,44,ZARAGOZA,-2.89711,42.90756
Obras,Euskadi,ARABA,VI,Obras,Urkabustaiz,2007-09-23 20:37:29,Blanco,AP-68,53,51,BILBAO,-2.89528,42.82766
Obras,Euskadi,ARABA,VI,Obras,Urkabustaiz,2007-09-23 20:37:29,Blanco,AP-68,53,51,BILBAO,-2.89528,42.82766
Obras,Euskadi,ARABA,VI,Obras,Kuartango,2007-10-01 09:17:23,Blanco,AP-68,67,67,ZARAGOZA,-2.91333,42.71972
Obras,Euskadi,ARABA,VI,Obras,Kuartango,2007-10-01 09:17:23,Blanco,AP-68,67,67,ZARAGOZA,-2.91333,42.71972
Obras,Euskadi,ARABA,VI,Obras,Kuartango,2007-10-01 09:17:23,Blanco,AP-68,67,67,ZARAGOZA,-2.91333,42.71972
Obras,Euskadi,ARABA,VI,Obras,None,2007-10-01 09:17:23,Blanco,AP-68,67,6,ZARAGOZA,-2.91333,42.71972
Obras,Euskadi,ARABA,VI,Obras,Alegría-Dulantzi,2007-10-01 09:17:23,Blanco,AP-68,67,6,ZARAGOZA,-2.91333,42.71972
Obras,Euskadi,ARABA,VI,Obras,Zambrana,2007-09-30 18:37:03,Blanco,AP-68,51,51,ZARAGOZA,-2.89297,42.84566
Obras,Euskadi,ARABA,VI,Obras,Zuia,2007-09-28 09:00:50,Blanco,AP-68,37,37,ZARAGOZA,-2.86974,42.96004
Obras,Euskadi,ARABA,VI,Obras,Ribera Alta,2007-09-28 08:12:30,Blanco,AP-68,68,68,ZARAGOZA,-2.90503,42.71332
Obras,Euskadi,ARABA,VI,Obras,Ribera Alta,2007-09-27 08:20:46,Blanco,AP-68,67,67,ZARAGOZA,-2.91333,42.71972
Obras,Euskadi,ARABA,VI,Obras,Zambrana,2007-09-27 09:03:47,Blanco,AP-68,70,70,BILBAO,-2.894214,42.69747
Obras,Euskadi,ARABA,VI,Obras,Ribera Alta,2007-09-27 08:20:46,Blanco,AP-68,67,67,ZARAGOZA,-2.91333,42.71972
Obras,Euskadi,ARABA,VI,Obras,Ribera Baja/Erribera Beitia,2007-09-26 08:17:21,Blanco,AP-68,68,68,ZARAGOZA,-2.90503,42.71332
Obras,Euskadi,ARABA,VI,Obras,Ribera Baja/Erribera Beitia,2007-09-26 08:17:21,Blanco,AP-68,68,68,ZARAGOZA,-2.90503,42.71332
Obras,Euskadi,ARABA,VI,Obras,None,2007-09-26 08:17:21,Blanco,AP-68,68,68,ZARAGOZA,-2.90503,42.71332
Obras,Euskadi,ARABA,VI,Obras,Ribera Baja/Erribera Beitia,2007-09-25 19:03:36,Blanco,AP-68,70,70,BILBAO,-2.894214,42.69747
Obras,Euskadi,ARABA,VI,Obras,Urkabustaiz,2007-09-23 20:37:29,Blanco,AP-68,53,51,BILBAO,-2.89528,42.82766
Obras,Euskadi,ARABA,VI,Obras,Ribera Alta,2007-09-25 12:49:56,Blanco,AP-68,70,70,BILBAO,-2.894214,42.69747
Obras,Euskadi,ARABA,VI,Obras,Ribera Alta,2007-09-25 11:57:34,Blanco,AP-68,71,71,ZARAGOZA,-2.89166,42.68916
Obras,Euskadi,ARABA,VI,Obras,Ribera Alta,2007-09-25 11:57:34,Blanco,AP-68,71,71,ZARAGOZA,-2.89166,42.68916
Obras,Euskadi,ARABA,VI,Obras,None,2007-09-24 10:20:20,Blanco,AP-68,72,72,BILBAO,-2.88888,42.68017
Obras,Euskadi,ARABA,VI,Obras,None,2007-09-24 10:20:20,Blanco,AP-68,72,68,BILBAO,-2.88888,42.68017
Obras,Euskadi,ARABA,VI,Obras,None,2007-09-24 10:20:20,Amarillo,AP-68,72,68,BILBAO,-2.88888,42.68017
Obras,Euskadi,ARABA,VI,Obras,None,2007-09-24 10:15:41,Amarillo,AP-68,68,72,ZARAGOZA,-2.90503,42.71332
Obras,Euskadi,ARABA,VI,Obras,None,2007-09-24 10:15:41,Amarillo,AP-68,68,68,ZARAGOZA,-2.90503,42.71332
Obras,Euskadi,ARABA,VI,Obras,Ribera Alta,2007-09-24 09:30:58,Blanco,AP-68,72,72,BILBAO,-2.88888,42.68017
Obras,Euskadi,ARABA,VI,Obras,Ribera Alta,2007-09-24 09:30:58,Blanco,AP-68,72,72,BILBAO,-2.88888,42.68017
Obras,Euskadi,ARABA,VI,Obras,Urkabustaiz,2007-09-23 20:37:29,Blanco,AP-68,53,51,BILBAO,-2.89528,42.82766
Obras,Euskadi,ARABA,VI,Obras,None,2007-09-23 20:30:33,Blanco,AP-68,51,53,ZARAGOZA,-2.89297,42.84566
Obras,Euskadi,ARABA,VI,Obras,None,2007-09-23 20:30:33,Blanco,AP-68,52,53,ZARAGOZA,-2.894033,42.83658
Obras,Euskadi,ARABA,VI,Obras,Kuartango,2007-09-23 17:05:24,Blanco,AP-68,51,51,ZARAGOZA,-2.89297,42.84566
Obras,Euskadi,ARABA,VI,Obras,Vitoria-Gasteiz,2007-09-21 16:12:03,Blanco,N-622,8,8,VITORIA-GASTEIZ,-2.71263,42.90498
